sentence_id	source	text
45	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Phân tích, xử lý và khắc phục Production Bug; phối hợp với QA/DevOps và các bên liên quan để xác định nguyên nhân và triển khai phương án xử lý phù hợp.
46	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Tham gia Code Review, trao đổi kỹ thuật với các thành viên trong team và đề xuất giải pháp cải thiện chất lượng, tính ổn định của hệ thống.
47	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Xây dựng Unit Test / Integration Test cho các chức năng; chủ động kiểm tra chất lượng code trước khi đưa lên môi trường tích hợp/production.
48	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Thiết kế và xử lý dữ liệu với PostgreSQL/SQL, JPA/Hibernate; tối ưu truy vấn, transaction và mapping dữ liệu khi cần thiết.
49	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Phát triển, duy trì và tối ưu REST API / Backend Service sử dụng Java và Spring Boot; đảm bảo code rõ ràng, dễ bảo trì và tuân thủ coding convention.
50	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Phân tích yêu cầu từ Product/BA và tham gia đề xuất giải pháp Backend phù hợp với nghiệp vụ, khả năng mở rộng và hiệu năng của hệ thống.
51	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Thành thạo Java, Spring Boot và REST API.
52	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Có kinh nghiệm với PostgreSQL/SQL, JPA/Hibernate.
53	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Có kinh nghiệm Unit Test / Integration Test, Code Review và xử lý lỗi Production.
54	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Có tư duy tốt về thiết kế Backend Service, xử lý dữ liệu và tối ưu hiệu năng.
55	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Có kinh nghiệm thực tế với AI/LLM API là lợi thế/định hướng quan trọng của vị trí.
56	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Biết Redis, Message Broker, Docker là lợi thế.
57	[TopCV] Middle BackEnd (Java/Spring) - Edufit	Tư duy logic, chủ động, trách nhiệm, khả năng phối hợp tốt và tinh thần Ownership.
58	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Programming Languages: Go (Golang), SQL, Bash, Python, C/C++ (basic)
59	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	DevOps & Infrastructure: Docker, Multi-stage builds, Distroless, Linux (Debian, Ubuntu, systemd, /proc), Kubernetes (DaemonSet, K8s manifests), GitHub Actions (CI/CD)
60	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Monitoring & Reliability: Prometheus (/metrics, Text format, Counters/Gauges), Grafana, k6, Fuzz testing, go test -race
61	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Studied Linux system administration, Docker containerization, CI/CD automation, system reliability, and SRE principles.
62	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Mastered systems analysis, distributed systems architecture design, and REST/gRPC API specification.
63	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Developed a streaming telemetry and anomaly detection agent in Go for Edge AI devices with zero memory allocations on hot paths.
64	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Implemented system metric parsers (/proc/stat, /proc/meminfo) using direct non-blocking Linux system calls (SYS_OPENAT, SYS_READ) on fixed stack buffers.
65	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Designed a mathematical engine based on Welford's algorithm, EWMA for baseline drift tracking, and Z-Score filtering.
66	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Built a custom Prometheus metric registry, an HTTP dispatcher with exponential backoff and jitter, a Kubernetes DaemonSet manifest, and a secured systemd service.
67	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Configured GitHub Actions CI with fuzz testing (Go Fuzz), race condition detection (-race), and cross-compilation for linux/amd64 and linux/arm64.
68	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Designed a distributed reverse proxy in Go featuring an in-memory Token Bucket algorithm and distributed rate limiting in Redis via atomic Lua scripts.
69	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Integrated a three-state Circuit Breaker and context-aware retries with request body rewind for idempotent methods.
70	[Facebook] CV - Go/DevOps Engineer (anonymized, CV lines)	Configured Prometheus metrics collection and Grafana dashboards; conducted load testing in k6.
71	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Phát triển và duy trì ứng dụng Mobile trên iOS/Android bằng React Native + TypeScript, ưu tiên Expo.
72	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Xây dựng UI, component, navigation, state management và form.
73	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Tích hợp REST API, authentication, push notification, deep link.
74	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Làm việc với storage, cache/offline, camera, media, location và native module khi cần.
75	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Testing, debugging, tối ưu performance và xử lý lỗi.
76	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Tham gia build/release app trên App Store/Google Play.
77	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Phối hợp với Product/BA, UI/UX, Backend, QA và DevOps.
78	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Ứng dụng AI trong development/testing/debugging và tích hợp AI/LLM khi có yêu cầu.
79	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	2–4 năm kinh nghiệm phát triển Mobile.
80	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Tối thiểu 1,5 năm React Native.
81	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Thành thạo TypeScript; ưu tiên kinh nghiệm Expo/EAS.
82	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Có kinh nghiệm REST API, debugging, testing và app release.
83	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Có kinh nghiệm thực tế ứng dụng AI trong phát triển Mobile.
84	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Biết sử dụng AI Coding Assistant.
85	[TopCV] Phát Triển Mobile Developer IOS/Android React Native TypeScript - Edufit	Chủ động, trách nhiệm, phối hợp tốt và ham học hỏi.
86	[TopCV] Senior Frontend Developer - SHB	Thiết kế và phát triển giao diện người dùng (UI) cho các hệ thống phần mềm nghiệp vụ của Ngân hàng trên nền tảng web, sử dụng công nghệ Angular và ReactJS, đảm bảo thân thiện với người dùng, hiệu năng cao và đáp ứng các yêu cầu bảo mật – hiệu suất của ngân hàng.
87	[TopCV] Senior Frontend Developer - SHB	Phân tích yêu cầu, thiết kế và phát triển các thành phần giao diện web theo đặc tả kỹ thuật, sử dụng Angular hoặc ReactJS.
88	[TopCV] Senior Frontend Developer - SHB	Phối hợp chặt chẽ với nhóm thiết kế UX/UI và nhóm Back-end để đảm bảo trải nghiệm người dùng mượt mà, đồng bộ dữ liệu và tối ưu hiệu năng.
89	[TopCV] Senior Frontend Developer - SHB	Tối ưu hóa UI/UX cho các trình duyệt và thiết bị khác nhau (responsive design).
90	[TopCV] Senior Frontend Developer - SHB	Tham gia viết tài liệu kỹ thuật, tài liệu bàn giao và hướng dẫn sử dụng khi cần.
91	[TopCV] Senior Frontend Developer - SHB	Hỗ trợ kiểm thử, khắc phục lỗi (bug fixing) và bảo trì hệ thống sau triển khai.
92	[TopCV] Senior Frontend Developer - SHB	Nghiên cứu và đề xuất các công nghệ mới nhằm nâng cao chất lượng giao diện và trải nghiệm người dùng.
93	[TopCV] Senior Frontend Developer - SHB	Tuân thủ quy trình phát triển phần mềm và các tiêu chuẩn về an toàn thông tin của ngân hàng.
94	[TopCV] Senior Frontend Developer - SHB	Thành thạo Angular (8+) và/hoặc ReactJS (với hooks, Redux).
95	[TopCV] Senior Frontend Developer - SHB	Nắm vững nguyên lý thiết kế giao diện, responsive web design, cross-browser compatibility.
96	[TopCV] Senior Frontend Developer - SHB	Biết sử dụng RESTful API và có kinh nghiệm tích hợp front-end với back-end.
97	[TopCV] Senior Frontend Developer - SHB	Ưu tiên ứng viên có kinh nghiệm làm việc với:
98	[TopCV] Senior Frontend Developer - SHB	Git, Gitlab, CI/CD.
99	[TopCV] Senior Frontend Developer - SHB	Các thư viện như RxJS, NgRx (với Angular), hoặc Zustand/Recoil (với React).
100	[TopCV] Senior Frontend Developer - SHB	Unit test, integration test cho front-end.
101	[TopCV] Senior Frontend Developer - SHB	Có kinh nghiệm làm việc với Ant Design.
102	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Thiết kế và phát triển toàn diện từ Frontend, API, Backend .NET đến cơ sở dữ liệu, đồng thời chủ động đề xuất giải pháp kỹ thuật.
103	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Xây dựng, chuẩn hóa codebase Frontend với Angular, React hoặc Vue, giúp sản phẩm dễ phát triển, tái sử dụng và mở rộng.
104	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Đo lường, tối ưu hiệu năng Client và Backend, cải thiện tốc độ phản hồi, trải nghiệm người dùng và khả năng chịu tải của hệ thống.
105	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Giải quyết các bài toán chuyên sâu về Transaction, Caching, Concurrency, Messaging và hệ thống có lượng truy cập lớn.
106	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Tham gia định hình kiến trúc, thực hiện Design Review, Code Review và Testing, góp phần xây dựng sản phẩm ổn định, dễ bảo trì.
107	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Phối hợp cùng Product Manager, BA và DevOps để chuyển hóa nhu cầu kinh doanh thành giải pháp công nghệ hiệu quả.
108	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Chia sẻ chuyên môn, mentoring thành viên và phát triển năng lực theo định hướng Technical Leadership.
109	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Có từ 3-4 năm kinh nghiệm phát triển ứng dụng Web với C#, .NET/.NET Core và hiểu cách tổ chức hệ thống theo Clean Architecture.
110	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Có kinh nghiệm phát triển Frontend với JavaScript/TypeScript và ít nhất một framework Angular, React hoặc Vue; có khả năng xây dựng, chuẩn hóa codebase.
111	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Đã trực tiếp tối ưu hiệu năng Backend và Client, mang lại cải thiện thực tế về tốc độ phản hồi, trải nghiệm người dùng hoặc khả năng chịu tải.
112	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Nắm vững OOP, SOLID, Design Pattern; có tư duy viết mã dễ đọc, dễ kiểm thử và bảo trì.
113	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Thành thạo SQL Server/MySQL, có kinh nghiệm thiết kế dữ liệu và tối ưu truy vấn.
114	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Có khả năng phân tích vấn đề, phối hợp đội nhóm và chủ động đề xuất giải pháp kỹ thuật.
115	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Kinh nghiệm với Redis, RabbitMQ, Microservices, Docker hoặc CI/CD.
116	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Đã sử dụng các công cụ đo lường hiệu năng Frontend như Lighthouse, Chrome DevTools hoặc Web Vitals.
117	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Có kinh nghiệm với hệ thống quy mô lớn, Unit Test, Code Review hoặc mentoring thành viên.
118	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Tham gia phát triển các sản phẩm và dịch vụ tài chính trên nền tảng công nghệ tiên tiến nhất
119	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Phụ trách phát triển Fullstack từ Frontend (FE), Backend (BE) đến Database (thiết kế, truy vấn, tối ưu).
120	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Phân tích và tối ưu hiệu năng ứng dụng: xử lý các vấn đề về tốc độ, tài nguyên, khả năng mở rộng và ổn định hệ thống.
121	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Phối hợp chặt chẽ với các team liên quan (QC, DevOps, BA,...) để đảm bảo đúng yêu cầu, đúng chất lượng và đúng tiến độ.
122	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Viết tài liệu kỹ thuật/hướng dẫn sử dụng phục vụ bàn giao, đào tạo nội bộ khi cần.
123	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Tham gia code review, góp ý nâng cao chất lượng code, đồng thời chia sẻ kiến thức và kinh nghiệm để cùng nâng trình team.
124	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Tốt nghiệp ĐH chuyên ngành CNTT hoặc các chuyên ngành liên quan.
125	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Có tối thiểu 1.5 năm kinh nghiệm lập trình trên nền tảng Web
126	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Thành thạo các kiến thức về .NET Framework hoặc .NET Core (C#, ASP.NET, MVC, ...) và VueJS
127	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Nắm vững nền tảng lập trình và kiến trúc: OOP, SOLID, Design Patterns, hiểu SOA/Microservices
128	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Có kinh nghiệm phát triển hệ thống Web quy mô vừa/lớn, tối ưu và vận hành ổn định.
129	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Có kinh nghiệm với Web API/RESTful API.
130	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Có kinh nghiệm với SQL Server/MySQL/PostgreSQL; biết thêm MongoDB/Couchbase/Redis/RabbitMQ (hoặc tương đương) là điểm cộng.
131	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Yêu thích môi trường product, có tư duy làm sản phẩm hướng người dùng.
132	[TopCV] Fullstack Developer - Công ty Cổ phần MISA	Biết ứng dụng công cụ AI để hỗ trợ lập trình (viết code/test/tài liệu, review, tối ưu…).
133	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Design and develop compelling and usable customer web interfaces using VueJS.
134	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Work closely with engineers from other teams to develop and build high-quality software.
135	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Improve the efficiency of existing products, debug and troubleshoot production issues.
136	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Build the architecture and design of new products and features.
137	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Implement UI components and libraries.
138	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Must Haves:
139	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Utilize code versioning tools (Git).
140	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Experienced with working on Linux based infrastructure
141	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Expert knowledge with HTML5, CSS3, SASS/SCSS.
142	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Expert with developing responsive layouts leveraging CSS and media queries.
143	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Solid knowledge of modern web development technologies & front-end frameworks.
144	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Proficient in Vue 3, Nuxt 3
145	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Nice to Have
146	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Experience in Mobile App development (build cross platform apps using Javascript)
147	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Understanding of SSR (Server-Side Rendering) and Static Site Generation (SSG)
148	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Experience with Nuxt 4
149	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Know how to debug, measure and optimize the performance of web applications.
150	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Understand and be able to implement good tests for front-end code.
151	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Basic understanding of server, database, and good experience in RESTful API design and development
152	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Desired soft skills
153	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Awareness of critical concepts in DevOps and Agile principles
154	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Ability to grasp technical and financial concepts quickly
155	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Easily adapt and learn new things.
156	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Ability to work independently and as part of a team
157	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Ability to work under pressure and handle emergency situations effectively
158	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Good problem-solving skills.
159	[TopCV] Frontend Developer - CÔNG TY TNHH EAERA VIỆT NAM	Attention to detail.
160	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Trao đổi/hỗ trợ khách hàng và các thành viên trong dự án về các vấn đề liên quan đến công việc;
161	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Báo cáo công việc cho Team dự án và các cấp Quản lý;
162	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Phát triển và vận hành sản phẩm về Web/Phần mềm;
163	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Code review, hướng dẫn kỹ thuật và đảm bảo tuân thủ quy chuẩn lập trình;
164	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Thiết kế kiến trúc hệ thống, đảm bảo hiệu năng, bảo mật và khả năng mở rộng;
165	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Tối ưu hóa Code để hệ thống hoạt động nhanh và mượt mà hơn;
166	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Dẫn dắt và hỗ trợ các vấn đề lập trình ở cả Back-end và Front-end.
167	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Ít nhất 3 năm kinh nghiệm phát triển phần mềm full-stack
168	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Thành thạo phát triển backend với golang là một lợi thế;
169	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Thành thạo ReactJS (có kinh nghiệm với TypeScript là lợi thế);
170	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Có kinh nghiệm thiết kế API theo chuẩn RESTful, thiết kế CSDL và kiến trúc microservices;
171	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Có kinh nghiệm sử dụng Docker, Git, CI/CD (GitLab CI, Jenkins…), nền tảng cloud (AWS/GCP/Azure).
172	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Có kinh nghiệm làm việc với cơ sở dữ liệu: PostgreSQL, MySQL, MongoDB (tùy dự án).
173	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Có kinh nghiệm trong việc thiết kế hệ thống, tối ưu hiệu suất, bảo mật ứng dụng web;
174	[TopCV] Full Stack - Công ty Cổ phần JVB Việt Nam	Hiểu biết về Clean Architecture, Design Patterns, và best practices trong lập trình.
