sentence_id	token_id	token	label
26	25	cầu	O
26	26	thực	O
26	27	tế	O
26	28	.	O
27	1	Chủ	O
27	2	động	O
27	3	nghiên	O
27	4	cứu	O
27	5	,	O
27	6	đề	O
27	7	xuất	O
27	8	các	O
27	9	giải	O
27	10	pháp	O
27	11	công	O
27	12	nghệ	O
27	13	mới	O
27	14	nhằm	O
27	15	nâng	O
27	16	cao	O
27	17	hiệu	O
27	18	suất	O
27	19	quản	O
27	20	lý	O
27	21	và	O
27	22	vận	O
27	23	hành	O
27	24	.	O
28	1	Phát	O
28	2	triển	O
28	3	và	O
28	4	vận	O
28	5	hành	O
28	6	hệ	O
28	7	thống	O
28	8	báo	O
28	9	cáo	O
28	10	,	O
28	11	rà	O
28	12	soát	O
28	13	&	O
28	14	tối	O
28	15	ưu	O
28	16	các	O
28	17	báo	O
28	18	cáo	O
28	19	theo	O
28	20	yêu	O
28	21	cầu	O
28	22	;	O
29	1	Xây	O
29	2	dựng	O
29	3	Data	B-SKILL
29	4	Mart	I-SKILL
29	5	đáp	O
29	6	ứng	O
29	7	các	O
29	8	bài	O
29	9	toán	O
29	10	dữ	O
29	11	liệu	O
29	12	;	O
30	1	Phân	O
30	2	tích	O
30	3	dữ	O
30	4	liệu	O
30	5	liên	O
30	6	quan	O
30	7	đến	O
30	8	chất	O
30	9	lượng	O
30	10	sản	O
30	11	phẩm	O
30	12	nội	O
30	13	bộ	O
30	14	,	O
30	15	từ	O
30	16	đó	O
30	17	đưa	O
30	18	ra	O
30	19	các	O
30	20	insight	O
30	21	và	O
30	22	đề	O
30	23	xuất	O
30	24	các	O
30	25	phương	O
30	26	án	O
30	27	nâng	O
30	28	cao	O
30	29	chất	O
30	30	lượng	O
30	31	sản	O
30	32	phẩm	O
30	33	;	O
31	1	Theo	O
31	2	dõi	O
31	3	và	O
31	4	đảm	O
31	5	bảo	O
31	6	tính	O
31	7	chính	O
31	8	xác	O
31	9	,	O
31	10	nhất	O
31	11	quán	O
31	12	của	O
31	13	dữ	O
31	14	liệu	O
31	15	dùng	O
31	16	trong	O
31	17	báo	O
31	18	cáo	O
31	19	và	O
31	20	hệ	O
31	21	thống	O
31	22	;	O
32	1	Phối	O
32	2	hợp	O
32	3	với	O
32	4	các	O
32	5	bộ	O
32	6	phận	O
32	7	nghiệp	O
32	8	vụ	O
32	9	(	O
32	10	sản	O
32	11	phẩm	O
32	12	,	O
32	13	vận	O
32	14	hành	O
32	15	...)	O
32	16	để	O
32	17	khai	O
32	18	thác	O
32	19	và	O
32	20	tối	O
32	21	ưu	O
32	22	dữ	O
32	23	liệu	O
32	24	.	O
33	1	SQL	B-SKILL
33	2	&	O
33	3	Cơ	O
33	4	sở	O
33	5	dữ	O
33	6	liệu	O
33	7	:	O
33	8	Thành	O
33	9	thạo	O
33	10	truy	O
33	11	vấn	O
33	12	,	O
33	13	tổng	O
33	14	hợp	O
33	15	,	O
33	16	xử	O
33	17	lý	O
33	18	dữ	O
33	19	liệu	O
33	20	,	O
33	21	tối	O
33	22	ưu	O
33	23	hóa	O
33	24	dữ	O
33	25	liệu	O
33	26	phân	O
33	27	tán	O
33	28	;	O
34	1	Xử	O
34	2	lý	O
34	3	Dữ	O
34	4	liệu	O
34	5	Real	O
34	6	-	O
34	7	time	O
34	8	&	O
34	9	CDC	O
34	10	:	O
34	11	Am	O
34	12	hiểu	O
34	13	và	O
34	14	có	O
34	15	kinh	O
34	16	nghiệm	O
34	17	làm	O
34	18	việc	O
34	19	với	O
34	20	dữ	O
34	21	liệu	O
34	22	CDC	B-SKILL
34	23	;	O
35	1	Lập	O
35	2	trình	O
35	3	&	O
35	4	ETL	B-SKILL
35	5	Pipeline	O
35	6	:	O
35	7	Sử	O
35	8	dụng	O
35	9	Python	B-SKILL
35	10	,	O
35	11	dbt	B-SKILL
35	12	và	O
35	13	Apache	B-SKILL
35	14	Airflow	I-SKILL
35	15	để	O
35	16	xây	O
35	17	dựng	O
35	18	,	O
35	19	tự	O
35	20	động	O
35	21	hóa	O
35	22	và	O
35	23	quản	O
35	24	lý	O
35	25	các	O
35	26	luồng	O
35	27	xử	O
35	28	lý	O
35	29	/	O
35	30	biến	O
35	31	đổi	O
35	32	dữ	O
35	33	liệu	O
35	34	;	O
36	1	Bảo	O
36	2	mật	O
36	3	&	O
36	4	Quy	O
36	5	trình	O
36	6	:	O
36	7	Nắm	O
36	8	vững	O
36	9	quy	O
36	10	trình	O
36	11	phân	O
36	12	tích	O
36	13	,	O
36	14	làm	O
36	15	sạch	O
36	16	,	O
36	17	kiểm	O
36	18	thử	O
36	19	dữ	O
36	20	liệu	O
36	21	,	O
36	22	bảo	O
36	23	mật	O
36	24	dữ	O
36	25	liệu	O
36	26	nhạy	O
36	27	cảm	O
36	28	(	O
36	29	PII	O
36	30	/	O
36	31	Sensitive	O
36	32	Data	O
36	33	);	O
37	1	Trực	O
37	2	quan	O
37	3	hóa	O
37	4	:	O
37	5	Thành	O
37	6	thạo	O
37	7	Power	B-SKILL
37	8	BI	I-SKILL
37	9	,	O
37	10	Excel	B-SKILL
37	11	nâng	O
37	12	cao	O
37	13	;	O
38	1	Tư	O
38	2	duy	O
38	3	:	O
38	4	Có	O
38	5	tư	O
38	6	duy	O
38	7	phản	O
38	8	biện	O
38	9	,	O
38	10	kỹ	O
38	11	năng	O
38	12	giải	O
38	13	quyết	O
38	14	vấn	O
38	15	đề	O
38	16	và	O
38	17	kết	O
38	18	nối	O
38	19	tốt	O
38	20	với	O
38	21	các	O
38	22	phòng	O
38	23	ban	O
38	24	liên	O
38	25	quan	O
38	26	,	O
38	27	khả	O
38	28	năng	O
38	29	làm	O
38	30	việc	O
38	31	độc	O
38	32	lập	O
38	33	cao	O
38	34	;	O
39	1	Domain	O
39	2	E	O
39	3	-	O
39	4	logistics	O
39	5	:	O
39	6	Có	O
39	7	kiến	O
39	8	thức	O
39	9	/	O
39	10	hiểu	O
39	11	biết	O
39	12	về	O
39	13	mảng	O
39	14	E	O
39	15	-	O
39	16	logistics	O
39	17	(	O
39	18	chuỗi	O
39	19	cung	O
39	20	ứng	O
39	21	thương	O
39	22	mại	O
39	23	điện	O
39	24	tử	O
39	25	,	O
39	26	chặng	O
39	27	cuối	O
39	28	,	O
39	29	kho	O
39	30	bãi	O
39	31	),	O
39	32	am	O
39	33	hiểu	O
39	34	thuật	O
39	35	toán	O
39	36	tối	O
39	37	ưu	O
39	38	quãng	O
39	39	đường	O
39	40	,	O
39	41	chi	O
39	42	phí	O
39	43	là	O
39	44	một	O
39	45	lợi	O
39	46	thế	O
39	47	;	O
40	1	Tham	O
40	2	gia	O
40	3	tài	O
40	4	liệu	O
40	5	hóa	O
40	6	API	O
40	7	,	O
40	8	luồng	O
40	9	xử	O
40	10	lý	O
40	11	và	O
40	12	các	O
40	13	giải	O
40	14	pháp	O
40	15	kỹ	O
40	16	thuật	O
40	17	cần	O
40	18	thiết	O
40	19	để	O
40	20	hỗ	O
40	21	trợ	O
40	22	vận	O
40	23	hành	O
40	24	,	O
40	25	bảo	O
40	26	trì	O
40	27	và	O
40	28	phát	O
40	29	triển	O
40	30	sản	O
40	31	phẩm	O
40	32	lâu	O
40	33	dài	O
40	34	.	O
41	1	Theo	O
41	2	dõi	O
41	3	và	O
41	4	tối	O
41	5	ưu	O
41	6	hiệu	O
41	7	năng	O
41	8	,	O
41	9	độ	O
41	10	ổn	O
41	11	định	O
41	12	,	O
41	13	khả	O
41	14	năng	O
41	15	mở	O
41	16	rộng	O
41	17	của	O
41	18	Backend	O
41	19	;	O
41	20	chủ	O
41	21	động	O
41	22	phát	O
41	23	hiện	O
41	24	các	O
41	25	điểm	O
41	26	nghẽn	O
41	27	và	O
41	28	đề	O
41	29	xuất	O
41	30	cải	O
41	31	tiến	O
41	32	.	O
42	1	Tham	O
42	2	gia	O
42	3	nghiên	O
42	4	cứu	O
42	5	,	O
42	6	tích	O
42	7	hợp	O
42	8	và	O
42	9	phát	O
42	10	triển	O
42	11	các	O
42	12	tính	O
42	13	năng	O
42	14	sử	O
42	15	dụng	O
42	16	AI	B-SKILL
42	17	/	O
42	18	LLM	B-SKILL
42	19	API	O
42	20	;	O
42	21	đảm	O
42	22	bảo	O
42	23	việc	O
42	24	tích	O
42	25	hợp	O
42	26	phù	O
42	27	hợp	O
42	28	với	O
42	29	yêu	O
42	30	cầu	O
42	31	sản	O
42	32	phẩm	O
42	33	và	O
42	34	tiêu	O
42	35	chuẩn	O
42	36	kỹ	O
42	37	thuật	O
42	38	.	O
43	1	Phối	O
43	2	hợp	O
43	3	chặt	O
43	4	chẽ	O
43	5	với	O
43	6	Frontend	O
43	7	,	O
43	8	QA	O
43	9	,	O
43	10	DevOps	O
43	11	,	O
43	12	Product	O
43	13	/	O
43	14	BA	O
43	15	trong	O
43	16	quá	O
43	17	trình	O
43	18	phát	O
43	19	triển	O
43	20	,	O
43	21	tích	O
43	22	hợp	O
43	23	,	O
43	24	kiểm	O
43	25	thử	O
43	26	và	O
43	27	đưa	O
43	28	tính	O
43	29	năng	O
43	30	vào	O
43	31	vận	O
43	32	hành	O
43	33	.	O
44	1	Tích	O
44	2	hợp	O
44	3	và	O
44	4	sử	O
44	5	dụng	O
44	6	các	O
44	7	thành	O
44	8	phần	O
44	9	như	O
44	10	Redis	B-SKILL
44	11	,	O
44	12	Message	B-SKILL
44	13	Broker	I-SKILL
44	14	,	O
44	15	Docker	B-SKILL
44	16	nhằm	O
44	17	hỗ	O
44	18	trợ	O
44	19	caching	O
44	20	,	O
44	21	xử	O
44	22	lý	O
44	23	bất	O
44	24	đồng	O
44	25	bộ	O
44	26	,	O
44	27	tích	O
44	28	hợp	O
44	29	service	O
44	30	và	O
44	31	triển	O
44	32	khai	O
44	33	hệ	O
44	34	thống	O
44	35	.	O
45	1	Phân	O
45	2	tích	O
45	3	,	O
45	4	xử	O
45	5	lý	O
45	6	và	O
45	7	khắc	O
45	8	phục	O
45	9	Production	O
45	10	Bug	O
45	11	;	O
45	12	phối	O
45	13	hợp	O
45	14	với	O
45	15	QA	O
45	16	/	O
45	17	DevOps	O
45	18	và	O
45	19	các	O
45	20	bên	O
45	21	liên	O
45	22	quan	O
45	23	để	O
45	24	xác	O
45	25	định	O
45	26	nguyên	O
45	27	nhân	O
45	28	và	O
45	29	triển	O
45	30	khai	O
45	31	phương	O
45	32	án	O
45	33	xử	O
45	34	lý	O
45	35	phù	O
45	36	hợp	O
45	37	.	O
46	1	Tham	O
46	2	gia	O
46	3	Code	O
46	4	Review	O
46	5	,	O
46	6	trao	O
46	7	đổi	O
46	8	kỹ	O
46	9	thuật	O
46	10	với	O
46	11	các	O
46	12	thành	O
46	13	viên	O
46	14	trong	O
46	15	team	O
46	16	và	O
46	17	đề	O
46	18	xuất	O
46	19	giải	O
46	20	pháp	O
46	21	cải	O
46	22	thiện	O
46	23	chất	O
46	24	lượng	O
46	25	,	O
46	26	tính	O
46	27	ổn	O
46	28	định	O
46	29	của	O
46	30	hệ	O
46	31	thống	O
46	32	.	O
47	1	Xây	O
47	2	dựng	O
47	3	Unit	O
47	4	Test	O
47	5	/	O
47	6	Integration	O
47	7	Test	O
47	8	cho	O
47	9	các	O
47	10	chức	O
47	11	năng	O
47	12	;	O
47	13	chủ	O
47	14	động	O
47	15	kiểm	O
47	16	tra	O
47	17	chất	O
47	18	lượng	O
47	19	code	O
47	20	trước	O
47	21	khi	O
47	22	đưa	O
47	23	lên	O
47	24	môi	O
47	25	trường	O
47	26	tích	O
47	27	hợp	O
47	28	/	O
47	29	production	O
47	30	.	O
48	1	Thiết	O
48	2	kế	O
48	3	và	O
48	4	xử	O
48	5	lý	O
48	6	dữ	O
48	7	liệu	O
48	8	với	O
48	9	PostgreSQL	B-SKILL
48	10	/	O
48	11	SQL	B-SKILL
48	12	,	O
48	13	JPA	B-SKILL
48	14	/	O
48	15	Hibernate	B-SKILL
48	16	;	O
48	17	tối	O
48	18	ưu	O
48	19	truy	O
48	20	vấn	O
48	21	,	O
48	22	transaction	O
48	23	và	O
48	24	mapping	O
48	25	dữ	O
48	26	liệu	O
48	27	khi	O
48	28	cần	O
48	29	thiết	O
48	30	.	O
49	1	Phát	O
49	2	triển	O
49	3	,	O
49	4	duy	O
49	5	trì	O
49	6	và	O
49	7	tối	O
49	8	ưu	O
49	9	REST	B-SKILL
49	10	API	O
49	11	/	O
49	12	Backend	O
49	13	Service	O
49	14	sử	O
49	15	dụng	O
49	16	Java	B-SKILL
49	17	và	O
49	18	Spring	B-SKILL
49	19	Boot	I-SKILL
49	20	;	O
49	21	đảm	O
49	22	bảo	O
49	23	code	O
49	24	rõ	O
49	25	ràng	O
49	26	,	O
49	27	dễ	O
49	28	bảo	O
49	29	trì	O
49	30	và	O
49	31	tuân	O
49	32	thủ	O
49	33	coding	O
49	34	convention	O
49	35	.	O
50	1	Phân	O
50	2	tích	O
50	3	yêu	O
50	4	cầu	O
50	5	từ	O
50	6	Product	O
50	7	/	O
50	8	BA	O
50	9	và	O
50	10	tham	O
50	11	gia	O
50	12	đề	O
50	13	xuất	O
50	14	giải	O
50	15	pháp	O
50	16	Backend	O
50	17	phù	O
50	18	hợp	O
50	19	với	O
50	20	nghiệp	O
50	21	vụ	O
50	22	,	O
50	23	khả	O
50	24	năng	O
50	25	mở	O
50	26	rộng	O
50	27	và	O
50	28	hiệu	O
50	29	năng	O
50	30	của	O
50	31	hệ	O
50	32	thống	O
50	33	.	O
51	1	Thành	O
51	2	thạo	O
51	3	Java	B-SKILL
51	4	,	O
51	5	Spring	B-SKILL
51	6	Boot	I-SKILL
51	7	và	O
51	8	REST	B-SKILL
51	9	API	O
51	10	.	O
52	1	Có	O
52	2	kinh	O
52	3	nghiệm	O
52	4	với	O
52	5	PostgreSQL	B-SKILL
52	6	/	O
52	7	SQL	B-SKILL
52	8	,	O
52	9	JPA	B-SKILL
52	10	/	O
52	11	Hibernate	B-SKILL
52	12	.	O
53	1	Có	O
53	2	kinh	O
53	3	nghiệm	O
53	4	Unit	O
53	5	Test	O
53	6	/	O
53	7	Integration	O
53	8	Test	O
53	9	,	O
53	10	Code	O
53	11	Review	O
53	12	và	O
53	13	xử	O
53	14	lý	O
53	15	lỗi	O
53	16	Production	O
53	17	.	O
54	1	Có	O
54	2	tư	O
54	3	duy	O
54	4	tốt	O
54	5	về	O
54	6	thiết	O
54	7	kế	O
54	8	Backend	O
54	9	Service	O
54	10	,	O
54	11	xử	O
54	12	lý	O
54	13	dữ	O
54	14	liệu	O
54	15	và	O
54	16	tối	O
54	17	ưu	O
54	18	hiệu	O
54	19	năng	O
54	20	.	O
55	1	Có	O
55	2	kinh	O
55	3	nghiệm	O
55	4	thực	O
55	5	tế	O
55	6	với	O
55	7	AI	B-SKILL
55	8	/	O
55	9	LLM	B-SKILL
55	10	API	O
55	11	là	O
55	12	lợi	O
55	13	thế	O
55	14	/	O
55	15	định	O
55	16	hướng	O
55	17	quan	O
55	18	trọng	O
55	19	của	O
55	20	vị	O
55	21	trí	O
55	22	.	O
56	1	Biết	O
56	2	Redis	B-SKILL
56	3	,	O
56	4	Message	B-SKILL
56	5	Broker	I-SKILL
56	6	,	O
56	7	Docker	B-SKILL
56	8	là	O
56	9	lợi	O
56	10	thế	O
56	11	.	O
57	1	Tư	O
57	2	duy	O
57	3	logic	O
57	4	,	O
57	5	chủ	O
57	6	động	O
57	7	,	O
57	8	trách	O
57	9	nhiệm	O
57	10	,	O
57	11	khả	O
57	12	năng	O
57	13	phối	O
57	14	hợp	O
57	15	tốt	O
57	16	và	O
57	17	tinh	O
57	18	thần	O
57	19	Ownership	O
57	20	.	O
58	1	Programming	
58	2	Languages	
58	3	:	
58	4	Go	
58	5	(	
58	6	Golang	
58	7	),	
58	8	SQL	
58	9	,	
58	10	Bash	
58	11	,	
58	12	Python	
58	13	,	
58	14	C	
58	15	/	
58	16	C	
58	17	++	
58	18	(	
58	19	basic	
58	20	)	
59	1	DevOps	
59	2	&	
59	3	Infrastructure	
59	4	:	
59	5	Docker	
59	6	,	
59	7	Multi	
59	8	-	
59	9	stage	
59	10	builds	
59	11	,	
59	12	Distroless	
59	13	,	
59	14	Linux	
59	15	(	
59	16	Debian	
59	17	,	
59	18	Ubuntu	
59	19	,	
59	20	systemd	
59	21	,	
59	22	/	
59	23	proc	
59	24	),	
59	25	Kubernetes	
59	26	(	
59	27	DaemonSet	
59	28	,	
59	29	K8s	
59	30	manifests	
59	31	),	
59	32	GitHub	
59	33	Actions	
59	34	(	
59	35	CI	
59	36	/	
59	37	CD	
59	38	)	
60	1	Monitoring	
60	2	&	
60	3	Reliability	
60	4	:	
60	5	Prometheus	
60	6	(/	
60	7	metrics	
60	8	,	
60	9	Text	
60	10	format	
60	11	,	
60	12	Counters	
60	13	/	
60	14	Gauges	
60	15	),	
60	16	Grafana	
60	17	,	
60	18	k6	
60	19	,	
60	20	Fuzz	
60	21	testing	
60	22	,	
60	23	go	
60	24	test	
60	25	-	
60	26	race	
61	1	Studied	
61	2	Linux	
61	3	system	
61	4	administration	
61	5	,	
61	6	Docker	
61	7	containerization	
61	8	,	
61	9	CI	
61	10	/	
61	11	CD	
61	12	automation	
61	13	,	
61	14	system	
61	15	reliability	
61	16	,	
61	17	and	
61	18	SRE	
61	19	principles	
61	20	.	
62	1	Mastered	
62	2	systems	
62	3	analysis	
62	4	,	
62	5	distributed	
62	6	systems	
62	7	architecture	
62	8	design	
62	9	,	
62	10	and	
62	11	REST	
62	12	/	
62	13	gRPC	
62	14	API	
62	15	specification	
